site_id,postcode,state,timezone_id
120978945,5098,SA,Australia/Adelaide
124812208,5251,SA,Australia/Adelaide
131274554,5068,SA,Australia/Adelaide
132924920,5114,SA,Australia/Adelaide
140479363,5241,SA,Australia/Adelaide
148361225,5571,SA,Australia/Adelaide
148572752,5554,SA,Australia/Adelaide
149518199,5156,SA,Australia/Adelaide
150229405,5280,SA,Australia/Adelaide
151502549,5540,SA,Australia/Adelaide
155250962,5540,SA,Australia/Adelaide
156871513,5291,SA,Australia/Adelaide
160958253,5357,SA,Australia/Adelaide
162184559,5353,SA,Australia/Adelaide
173474789,5169,SA,Australia/Adelaide
175277920,5065,SA,Australia/Adelaide
180019410,5000,SA,Australia/Adelaide
180961988,5159,SA,Australia/Adelaide
181292595,5076,SA,Australia/Adelaide
184487914,5127,SA,Australia/Adelaide
186798934,5165,SA,Australia/Adelaide
201005302,5098,SA,Australia/Adelaide
207928329,5172,SA,Australia/Adelaide
209626474,5035,SA,Australia/Adelaide
209982469,5046,SA,Australia/Adelaide
214999228,5172,SA,Australia/Adelaide
224067099,5068,SA,Australia/Adelaide
225330552,5047,SA,Australia/Adelaide
227173663,5333,SA,Australia/Adelaide
230292804,5158,SA,Australia/Adelaide
234896542,5126,SA,Australia/Adelaide
238802594,5214,SA,Australia/Adelaide
241132918,5087,SA,Australia/Adelaide
243245418,5023,SA,Australia/Adelaide
243682996,5126,SA,Australia/Adelaide
248211517,5158,SA,Australia/Adelaide
251640027,5075,SA,Australia/Adelaide
254961634,5114,SA,Australia/Adelaide
261742864,5089,SA,Australia/Adelaide
270842689,5114,SA,Australia/Adelaide
273308331,5126,SA,Australia/Adelaide
279023285,5096,SA,Australia/Adelaide
284613936,5097,SA,Australia/Adelaide
285370982,5169,SA,Australia/Adelaide
299018959,5233,SA,Australia/Adelaide
301905284,5121,SA,Australia/Adelaide
308789808,5113,SA,Australia/Adelaide
311106032,5290,SA,Australia/Adelaide
318326432,5162,SA,Australia/Adelaide
324383011,5038,SA,Australia/Adelaide
325249955,5144,SA,Australia/Adelaide
329905639,5255,SA,Australia/Adelaide
346312826,5049,SA,Australia/Adelaide
353666124,5025,SA,Australia/Adelaide
361141894,5700,SA,Australia/Adelaide
363753520,5163,SA,Australia/Adelaide
365178462,5069,SA,Australia/Adelaide
366839929,5522,SA,Australia/Adelaide
367089606,5093,SA,Australia/Adelaide
368498594,5113,SA,Australia/Adelaide
369444466,5640,SA,Australia/Adelaide
372598261,5108,SA,Australia/Adelaide
380240220,5453,SA,Australia/Adelaide
393896925,5174,SA,Australia/Adelaide
399273511,5024,SA,Australia/Adelaide
408444566,5098,SA,Australia/Adelaide
410166739,5700,SA,Australia/Adelaide
414193674,5062,SA,Australia/Adelaide
416338041,5047,SA,Australia/Adelaide
427947147,5065,SA,Australia/Adelaide
434843249,5092,SA,Australia/Adelaide
438489505,5168,SA,Australia/Adelaide
450979971,5168,SA,Australia/Adelaide
451302910,5154,SA,Australia/Adelaide
454126181,5086,SA,Australia/Adelaide
455311527,5097,SA,Australia/Adelaide
457207756,5113,SA,Australia/Adelaide
461760906,5351,SA,Australia/Adelaide
471578500,5038,SA,Australia/Adelaide
473941608,5117,SA,Australia/Adelaide
474434550,5167,SA,Australia/Adelaide
474969329,5000,SA,Australia/Adelaide
482415667,5290,SA,Australia/Adelaide
483765346,5006,SA,Australia/Adelaide
484015043,5501,SA,Australia/Adelaide
486683100,5575,SA,Australia/Adelaide
491738960,5540,SA,Australia/Adelaide
498197779,5238,SA,Australia/Adelaide
498218049,5114,SA,Australia/Adelaide
499092258,5412,SA,Australia/Adelaide
500480407,5159,SA,Australia/Adelaide
507607210,5264,SA,Australia/Adelaide
508646679,5211,SA,Australia/Adelaide
509792561,5290,SA,Australia/Adelaide
514035418,5012,SA,Australia/Adelaide
523006338,5109,SA,Australia/Adelaide
523197228,5093,SA,Australia/Adelaide
526201149,5251,SA,Australia/Adelaide
534312378,5372,SA,Australia/Adelaide
540573917,5039,SA,Australia/Adelaide
543462290,5116,SA,Australia/Adelaide
560914542,5011,SA,Australia/Adelaide
564718501,5096,SA,Australia/Adelaide
577254714,5120,SA,Australia/Adelaide
580751221,5048,SA,Australia/Adelaide
582389565,5255,SA,Australia/Adelaide
602258401,5063,SA,Australia/Adelaide
604350171,5352,SA,Australia/Adelaide
605597269,5052,SA,Australia/Adelaide
608892230,5204,SA,Australia/Adelaide
610898845,5540,SA,Australia/Adelaide
618268881,5116,SA,Australia/Adelaide
622623656,5540,SA,Australia/Adelaide
630413413,5214,SA,Australia/Adelaide
640746620,5096,SA,Australia/Adelaide
643872032,5162,SA,Australia/Adelaide
646779159,5043,SA,Australia/Adelaide
648162589,5252,SA,Australia/Adelaide
651201322,5061,SA,Australia/Adelaide
654360459,5038,SA,Australia/Adelaide
654830696,5540,SA,Australia/Adelaide
655675858,5086,SA,Australia/Adelaide
658870669,5085,SA,Australia/Adelaide
658898702,5540,SA,Australia/Adelaide
661999908,5125,SA,Australia/Adelaide
690482299,5062,SA,Australia/Adelaide
696594828,5355,SA,Australia/Adelaide
697668478,5253,SA,Australia/Adelaide
698199034,5214,SA,Australia/Adelaide
703205506,5000,SA,Australia/Adelaide
703916894,5073,SA,Australia/Adelaide
706110783,5125,SA,Australia/Adelaide
708035755,5126,SA,Australia/Adelaide
711334729,5024,SA,Australia/Adelaide
713161495,5108,SA,Australia/Adelaide
717255832,5082,SA,Australia/Adelaide
718396967,5211,SA,Australia/Adelaide
725131478,5035,SA,Australia/Adelaide
740548463,5038,SA,Australia/Adelaide
753895301,5112,SA,Australia/Adelaide
760839422,5373,SA,Australia/Adelaide
763406852,5108,SA,Australia/Adelaide
764737258,5159,SA,Australia/Adelaide
768059371,5067,SA,Australia/Adelaide
772758512,5461,SA,Australia/Adelaide
773146795,5211,SA,Australia/Adelaide
776938214,5211,SA,Australia/Adelaide
779710440,5090,SA,Australia/Adelaide
794232428,5049,SA,Australia/Adelaide
795123380,5460,SA,Australia/Adelaide
808829848,5371,SA,Australia/Adelaide
813352066,5125,SA,Australia/Adelaide
817298209,5087,SA,Australia/Adelaide
817477821,5116,SA,Australia/Adelaide
829732787,5098,SA,Australia/Adelaide
837626739,5153,SA,Australia/Adelaide
838463268,5271,SA,Australia/Adelaide
842536946,5650,SA,Australia/Adelaide
844810334,5018,SA,Australia/Adelaide
845938888,5097,SA,Australia/Adelaide
851632191,5096,SA,Australia/Adelaide
854251191,5067,SA,Australia/Adelaide
869298002,5073,SA,Australia/Adelaide
874656799,5063,SA,Australia/Adelaide
890566213,5211,SA,Australia/Adelaide
901581188,5223,SA,Australia/Adelaide
911328034,5016,SA,Australia/Adelaide
912442478,5540,SA,Australia/Adelaide
929821664,5066,SA,Australia/Adelaide
936340410,5162,SA,Australia/Adelaide
